name,seed,time_in_seconds,precision,recall,num_candidates,num_best_candidates
Calculator,1,1.4778,1.0,1.0,57,1
Calculator,2,1.4904,1.0,1.0,57,1
Calculator,3,1.5028,1.0,1.0,57,1
Calculator,4,1.537,1.0,1.0,57,1
Calculator,5,1.5416,1.0,1.0,57,1
Heartbleed,1,1.9178,1.0,1.0,46,1
Heartbleed,2,1.861,1.0,1.0,46,1
Heartbleed,3,1.952,1.0,1.0,46,1
Heartbleed,4,1.912,1.0,1.0,46,1
Heartbleed,5,1.8016,1.0,1.0,46,1
Middle,1,1.5575,1.0,1.0,3379,3
Middle,2,1.563,1.0,1.0,3379,3
Middle,3,1.5493,1.0,1.0,3379,3
Middle,4,1.5581,1.0,1.0,3379,3
Middle,5,1.5539,1.0,1.0,3379,3
Expression,1,1.4356,0.6385542168674698,0.53,3,2
Expression,2,1.6323,0.6385542168674698,0.53,3,2
Expression,3,1.496,0.6385542168674698,0.53,3,2
Expression,4,1.4267,0.6385542168674698,0.53,3,2
Expression,5,1.4393,0.6385542168674698,0.53,3,2
